,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kapaa,US,22.0752,-159.319,80.58,76,90,3.0,light rain
80,Lesnikovo,RU,55.2822,65.3175,37.26,71,75,15.19,broken clouds
81,Clyde River,CA,70.4692,-68.5914,30.74,59,78,2.15,broken clouds
82,Maningrida,AU,-12.0667,134.2667,69.66,82,100,9.13,overcast clouds
83,Superior,US,46.7208,-92.1041,87.89,51,1,10.36,clear sky
84,Pochutla,MX,15.7432,-96.4661,89.82,68,89,5.93,overcast clouds
85,Saint-Philippe,RE,-21.3585,55.7679,63.99,69,5,6.49,clear sky
86,Salamiyah,SY,35.0113,37.0532,72.39,46,0,5.73,clear sky
87,Port Alfred,ZA,-33.5906,26.891,60.98,82,74,9.28,broken clouds
88,Genhe,CN,50.7833,121.5167,35.73,91,4,1.19,clear sky
89,Almaznyy,RU,48.0448,40.045,60.94,95,100,12.68,overcast clouds
90,Port Hardy,CA,50.6996,-127.4199,56.5,86,58,4.63,light rain
91,Srandakan,ID,-7.9386,110.2506,74.82,89,70,7.18,broken clouds
92,Sorong,ID,-0.8833,131.25,77.99,85,100,3.27,light rain
93,Saint Anthony,US,45.0205,-93.218,89.92,44,1,5.99,clear sky
94,Belle Glade,US,26.6845,-80.6676,86.05,67,100,5.61,overcast clouds
95,Houma,US,29.5958,-90.7195,87.01,77,40,13.8,scattered clouds
96,Vetlanda,SE,57.4289,15.0776,46.27,82,100,7.23,overcast clouds
97,Anadyr,RU,64.75,177.4833,32.5,80,20,2.24,few clouds
98,Codrington,AU,-38.2667,141.9667,47.17,81,46,21.94,light rain
99,Airai,TL,-8.9266,125.4092,58.14,47,35,3.83,scattered clouds
100,Qaanaaq,GL,77.484,-69.3632,14.61,89,92,6.96,overcast clouds
101,Rio Cuarto,AR,-33.1307,-64.3499,68.83,56,91,4.76,overcast clouds
102,Mar Del Plata,AR,-38.0023,-57.5575,57.22,94,90,10.36,overcast clouds
103,Faanui,PF,-16.4833,-151.75,77.77,76,77,19.22,light rain
104,Bathsheba,BB,13.2167,-59.5167,83.01,69,20,8.05,few clouds
105,Gardelegen,DE,52.5252,11.3952,54.99,64,99,5.41,overcast clouds
106,Mao,ES,39.8885,4.2658,68.56,73,0,5.75,clear sky
107,Monrovia,LR,6.3005,-10.7969,76.86,86,100,6.73,light rain
108,Mendeleyevo,RU,56.0333,37.2167,40.78,87,75,20.13,light intensity shower rain
109,Mountain Home,US,43.133,-115.6912,61.54,77,90,13.8,overcast clouds
110,Carnarvon,AU,-24.8667,113.6333,57.27,54,0,10.36,clear sky
111,Nampa,US,43.5407,-116.5635,66.15,45,1,11.5,clear sky
112,Ponta Do Sol,PT,32.6667,-17.1,74.03,67,94,5.44,overcast clouds
113,Richards Bay,ZA,-28.783,32.0377,65.84,68,70,17.18,broken clouds
114,Gizo,SB,-8.103,156.8419,81.77,75,98,8.37,light rain
115,Vicuna,CL,-30.0319,-70.7081,64.78,46,0,6.38,clear sky
116,Tautira,PF,-17.7333,-149.15,82.42,72,61,18.37,broken clouds
117,Karratha,AU,-20.7377,116.8463,74.19,31,1,10.51,clear sky
118,Kumylzhenskaya,RU,49.8809,42.5898,59.54,52,100,11.32,light rain
119,Sitka,US,57.0531,-135.33,55.29,76,75,4.61,broken clouds
120,Cortes,ES,41.9395,-1.4396,64.45,65,44,11.52,scattered clouds
121,Uyemskiy,RU,64.4743,40.8524,41.05,87,90,4.47,overcast clouds
